iter	Passed	Remaining
0	2	214
1	3	194
2	6	200
3	7	183
4	9	177
5	11	173
6	12	170
7	14	166
8	16	163
9	17	159
10	19	160
11	21	158
12	23	154
13	24	152
14	26	150
15	28	147
16	29	145
17	31	142
18	33	141
19	34	139
20	36	137
21	38	135
22	39	132
23	41	131
24	43	129
25	44	127
26	46	125
27	48	124
28	50	122
29	51	120
30	53	118
31	54	116
32	56	114
33	58	112
34	59	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	100
41	70	97
42	71	95
43	73	93
44	75	91
45	76	90
46	78	88
47	80	86
48	81	85
49	83	83
50	84	81
51	86	80
52	88	78
53	89	76
54	91	74
55	92	72
56	94	71
57	96	69
58	97	67
59	99	66
60	101	65
61	103	63
62	105	61
63	106	59
64	108	58
65	109	56
66	111	54
67	113	53
68	115	52
69	117	50
70	120	49
71	122	47
72	123	45
73	125	44
74	126	42
75	128	40
76	130	38
77	132	37
78	133	35
79	135	33
80	137	32
81	138	30
82	140	28
83	142	27
84	144	25
85	145	23
86	147	22
87	148	20
88	150	18
89	152	16
90	153	15
91	155	13
92	157	11
93	158	10
94	160	8
95	162	6
96	163	5
97	165	3
98	167	1
99	168	0
